id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
1118,impartial judiciary,公正司法,公正司法,ˌɪmˈpɑrʃəl ʤuˈdɪʃiˌɛri,,3,1,textbook,,
1119,appearance of impropriety,不当外观,不当外观,əˈpɪrəns əv ˌɪmprəˈpraɪəti,,3,1,textbook,,
1120,accountability,问责,问责,əˈkaʊntəˌbɪlɪti,,3,1,textbook,,
1121,legitimacy,正当性,正当性,lɪˈʤɪtəməsi,,"3,4",3,textbook,,
1122,administer justice impartially,公正执法,公正执法,ədˈmɪnɪstər ˈʤəstɪs ˌɪmˈpɑrʃəli,,3,1,textbook,,
1123,conclusion,结论,结论,kənˈkluʒən,,"3,4,7,9",4,textbook,,
1124,notes,本章注释,本章注释,noʊts,,3,1,textbook,,
1125,court of appeals,上诉法院,上诉法院,kɔrt əv əˈpilz,,3,1,textbook,,
1126,procedure,程序,程序,prəˈsiʤər,,4,1,textbook,,
1127,federal rules of civil procedure,联邦民事诉讼规则,联邦民事诉讼规则,ˈfɛdərəl rulz əv ˈsɪvəl prəˈsiʤər,,4,2,textbook,,
1128,alternative dispute resolution,替代性纠纷解决,替代性纠纷解决,ɔlˈtərnətɪv dɪˈspjut ˌrɛzəˈluʃən,,4,4,textbook,,
1129,docket,案件表,案件表,ˈdɑkət,,4,3,textbook,,
1130,mediator,调解员,调解员,ˈmidiˌeɪtər,,4,1,textbook,,
1131,civil rights claim,民权诉求,民权诉求,ˈsɪvəl raɪts kleɪm,,4,1,textbook,,
1132,arbitrator,仲裁员,仲裁员,ˈɑrbɪˌtreɪtər,,4,2,textbook,,
1133,subpoena,传唤令,传唤令,səˈpinə,,4,3,textbook,,
1134,civil procedure,民事程序,民事程序,ˈsɪvəl prəˈsiʤər,,4,1,textbook,,
1135,settle,和解,和解,ˈsɛtəl,,4,2,textbook,,
1136,complaint,起诉状；刑事控告书；投诉,起诉状；刑事控告书；投诉,kəmˈpleɪnt,,"3,4",9,textbook,,
1137,general damages,一般损害赔偿,一般损害赔偿,ˈʤɛnərəl ˈdæmɪʤɪz,,4,2,textbook,,
1138,service,送达,送达,ˈsərvɪs,,4,3,textbook,,
1139,summons,传票,传票,ˈsəmənz,,4,2,textbook,,
1140,answer,答辩状,答辩状,ˈænsər,,4,3,textbook,,
1141,demurrer,诉求不充分抗辩,诉求不充分抗辩,,,4,1,textbook,,
1142,default judgment,缺席判决,缺席判决,dɪˈfɔlt ˈʤəʤmənt,,4,2,textbook,,
1143,juror,陪审员,陪审员,ˈʤʊrər,,4,3,textbook,,
1144,privileged,享有特免权的,享有特免权的,ˈprɪvɪlɪʤd,,4,2,textbook,,
1145,deposition,书面证词,书面证词,ˌdɛpəˈzɪʃən,,4,10,textbook,,
1146,direct examination,主询问,主询问,dɪˈrɛkt ɪgˌzæməˈneɪʃən,,4,6,textbook,,
1147,cross-examination,交叉询问,交叉询问,,,4,11,textbook,,
1148,interrogatory,书面质询,书面质询,ˌɪntɛˈrɑgəˌtɔri,,4,4,textbook,,
1149,contempt,藐视法庭,藐视法庭,kənˈtɛmpt,,4,5,textbook,,
1150,subpoena duces tecum,携带文书出庭传票；提交书面文件传票,携带文书出庭传票；提交书面文件传票,,,"4,6",3,textbook,,
1151,stipulate,约定,约定,ˈstɪpjəˌleɪt,,4,2,textbook,,
1152,summary judgment,简易判决,简易判决,ˈsəməri ˈʤəʤmənt,,4,3,textbook,,
1153,prejudicial,偏见性,偏见性,ˌprɛʤəˈdɪʃəl,,4,2,textbook,,
1154,recuse,回避,回避,ˌrɪˈkjuz,,"4,6",2,textbook,,
1155,venire,陪审员候选团,陪审员候选团,,,4,1,textbook,,
1156,venireman,候选陪审员,候选陪审员,,,4,1,textbook,,
1157,challenge for cause,有因回避,有因回避,ˈʧælənʤ fər kɔz,,4,3,textbook,,
1158,peremptory challenge,无因回避,无因回避,pərˈɛmptəri ˈʧælənʤ,,"4,7",7,textbook,,
1159,voir dire,预先审查,预先审查,vwɑr daɪər,,4,2,textbook,,
1160,impanel,组成陪审团,组成陪审团,ˌɪmˈpænəl,,4,1,textbook,,
1161,jury duty,陪审义务,陪审义务,ˈʤʊri ˈduti,,4,1,textbook,,
1162,preponderance of the evidence,证据优势,证据优势,priˈpɑndrəns əv ðə ˈɛvədəns,,"4,9",3,textbook,,
1163,hearsay rule,传闻规则,传闻规则,ˈhirˌseɪ rul,,4,3,textbook,,
1164,objection,异议,异议,əˈbʤɛkʃən,,4,7,textbook,,
1165,reversible error,可撤销错误,可撤销错误,rɪˈvərsəbəl ˈɛrər,,4,5,textbook,,
1166,directed verdict,指示裁决,指示裁决,dɪˈrɛktɪd ˈvərdɪkt,,4,5,textbook,,
1167,general verdict,一般裁决,一般裁决,ˈʤɛnərəl ˈvərdɪkt,,4,1,textbook,,
1168,liable,有责任；无责任,有责任；无责任,ˈlaɪəbəl,,4,2,textbook,,
1169,special issues verdict,特别事项裁决,特别事项裁决,ˈspɛʃəl ˈɪʃuz ˈvərdɪkt,,4,1,textbook,,
1170,harmless error,无害错误,无害错误,ˈhɑrmləs ˈɛrər,,4,2,textbook,,
1171,remittitur,减额,减额,,,4,1,textbook,,
1172,appellant,上诉人,上诉人,,,4,21,textbook,,
1173,appellee,被上诉人,被上诉人,,,4,13,textbook,,
1174,federal rules of appellate procedure,联邦上诉程序规则,联邦上诉程序规则,ˈfɛdərəl rulz əv əˈpɛˌleɪt prəˈsiʤər,,4,1,textbook,,
1175,notice of appeal,上诉通知,上诉通知,ˈnoʊtɪs əv əˈpil,,4,6,textbook,,
1176,serve,送达,送达,sərv,,4,5,textbook,,
1177,proof of service,送达证明,送达证明,pruf əv ˈsərvɪs,,4,1,textbook,,
1178,brief,辩护状,辩护状,brif,,4,9,textbook,,
1179,oral argument,口头辩论,口头辩论,ˈɔrəl ˈɑrgjəmənt,,"2,4",9,textbook,,
1180,panel,合议庭,合议庭,ˈpænəl,,"3,4",5,textbook,,
1181,dissenting opinion,反对意见,反对意见,dɪˈsɛnɪŋ əˈpɪnjən,,4,7,textbook,,
1182,concurring opinion,同意意见,同意意见,kənˈkərɪŋ əˈpɪnjən,,4,8,textbook,,
1183,affirm,维持,维持,əˈfərm,,4,1,textbook,,
1184,writ of certiorari,调卷令,调卷令,,,4,2,textbook,,
1185,rule of four,四人规则,四人规则,rul əv fɔr,,4,1,textbook,,
1186,plurality opinion,相对多数意见,相对多数意见,plərˈælɪti əˈpɪnjən,,4,1,textbook,,
1187,writ of execution,执行令,执行令,rɪt əv ˌɛksəˈkjuʃən,,4,1,textbook,,
1188,garnishment,债权扣押,债权扣押,ˈgɑrnɪʃmənt,,4,1,textbook,,
1189,criminal procedure,刑事程序,刑事程序,ˈkrɪmənəl prəˈsiʤər,,4,1,textbook,,
1190,complaining witness,控告证人,控告证人,kəmˈpleɪnɪŋ ˈwɪtnəs,,4,2,textbook,,
1191,magistrate,治安法官,治安法官,ˈmæʤɪˌstreɪt,,4,9,textbook,,
1192,arrest warrant,逮捕证,逮捕证,ərˈɛst ˈwɔrənt,,"4,7",4,textbook,,
1193,initial appearance,首次出庭,首次出庭,ˌɪˈnɪʃəl əˈpɪrəns,,4,4,textbook,,
1194,miranda v. arizona,米兰达诉亚利桑那州案,米兰达诉亚利桑那州案,mərˈændə vi. ˌɛrɪˈzoʊnə,,"4,7",3,textbook,,
1195,assistance of counsel,辩护律师协助,辩护律师协助,əˈsɪstəns əv ˈkaʊnsəl,,4,1,textbook,,
1196,mallory v. united states,马洛里诉合众国案；马洛里诉美国案,马洛里诉合众国案；马洛里诉美国案,ˈmæləri vi. juˈnaɪtɪd steɪts,,"4,7",3,textbook,,
1197,miranda,米兰达案,米兰达案,mərˈændə,,4,1,textbook,,
1198,custodial arrest,羁押逮捕,羁押逮捕,kəˈstoʊdiəl ərˈɛst,,4,1,textbook,,
1199,preliminary hearing,预审,预审,prɪˈlɪməˌnɛri ˈhirɪŋ,,"3,4",6,textbook,,
1200,bond,保释金,保释金,bɑnd,,4,2,textbook,,
1201,release on own recognizance,具结释放,具结释放,riˈlis ɔn oʊn rɪˈkɑnəzəns,,4,1,textbook,,
1202,probable cause,相当理由；合理根据,相当理由；合理根据,ˈprɑbəbəl kɔz,,"4,7,8",17,textbook,,
1203,prosecutor,检察官,检察官,ˈprɑsɪˌkjutər,,4,11,textbook,,
1204,indictment,起诉；大陪审团起诉,起诉；大陪审团起诉,ˌɪnˈdaɪtmənt,,"4,7",6,textbook,,
1205,indictment by grand jury,大陪审团起诉,大陪审团起诉,ˌɪnˈdaɪtmənt baɪ grænd ˈʤʊri,,4,1,textbook,,
1206,true bill,准予起诉,准予起诉,tru bɪl,,4,1,textbook,,
1207,no bill,不予起诉,不予起诉,noʊ bɪl,,4,1,textbook,,
1208,indictment by information,检察官起诉书起诉,检察官起诉书起诉,ˌɪnˈdaɪtmənt baɪ ˌɪnˌfɔrˈmeɪʃən,,4,1,textbook,,
1209,indict,起诉,起诉,ˌɪnˈdaɪt,,4,1,textbook,,
1210,arraignment,传讯,传讯,ərˈeɪnmənt,,"3,4,7",9,textbook,,
1211,plea,答辩,答辩,pli,,4,11,textbook,,
1212,nolo contendere,不予争辩,不予争辩,,,4,4,textbook,,
1213,self-incrimination,自证其罪；反对自证其罪,自证其罪；反对自证其罪,,,"4,7",15,textbook,,
1214,jeopardy,审判危险,审判危险,ˈʤɛpərdi,,4,2,textbook,,
1215,preponderance,证据优势,证据优势,priˈpɑndrəns,,4,1,textbook,,
1216,reasonable doubt,合理怀疑,合理怀疑,ˈrizənəbəl daʊt,,4,2,textbook,,
1217,hung jury,僵持陪审团,僵持陪审团,həŋ ˈʤʊri,,4,2,textbook,,
1218,sequester,隔离,隔离,sɪkˈwɛstər,,4,2,textbook,,
1219,habeas corpus,人身保护令,人身保护令,ˈhæbiəs ˈkɔrpəs,,"4,7",6,textbook,,
1220,direct evidence,直接证据,直接证据,dɪˈrɛkt ˈɛvədəns,,4,7,textbook,,
1221,circumstantial evidence,间接证据,间接证据,ˌsərkəmˈstænʃəl ˈɛvədəns,,4,5,textbook,,
1222,tangible evidence,有形证据,有形证据,ˈtænʤəbəl ˈɛvədəns,,4,7,textbook,,
1223,judicial notice,司法认知,司法认知,ʤuˈdɪʃəl ˈnoʊtɪs,,"4,5",7,textbook,,
1224,real evidence,实物证据,实物证据,ril ˈɛvədəns,,4,3,textbook,,
1225,demonstrative evidence,演示证据,演示证据,dɪˈmɑnstrətɪv ˈɛvədəns,,4,2,textbook,,
1226,pennsylvania v. muniz,宾州诉穆尼兹案,宾州诉穆尼兹案,ˌpɛnsəlˈveɪnjə vi. mˈjunɪz,,4,1,textbook,,
1227,miranda warnings,米兰达警告,米兰达警告,mərˈændə ˈwɔrnɪŋz,,4,1,textbook,,
1228,affidavit,宣誓书,宣誓书,ˌæfəˈdeɪvət,,4,1,textbook,,
1229,affirmation,确认,确认,ˌæfərˈmeɪʃən,,4,1,textbook,,
1230,federal rules of evidence,联邦证据规则,联邦证据规则,ˈfɛdərəl rulz əv ˈɛvədəns,,4,2,textbook,,
1231,stipulation,诉讼协议,诉讼协议,ˌstɪpjəˈleɪʃən,,4,2,textbook,,
1232,laying a predicate,奠定基础,奠定基础,leɪɪŋ ə ˈprɛdɪkət,,4,1,textbook,,
1233,object,反对,反对,ˈɑbʤɛkt,,4,1,textbook,,
1234,motion in limine,庭前排除证据动议,庭前排除证据动议,ˈmoʊʃən ɪn lɪˈmin,,4,1,textbook,,
1235,compromise,和解,和解,ˈkɑmprəˌmaɪz,,4,1,textbook,,
1236,competency,能力,能力,ˈkɑmpətɪnsi,,4,3,textbook,,
1237,expert witness,专家证人,专家证人,ˈɛkspərt ˈwɪtnəs,,4,3,textbook,,
1238,probative value,证明力,证明力,proʊˈbeɪtɪv ˈvælju,,4,1,textbook,,
1239,privilege,特免权,特免权,ˈprɪvɪlɪʤ,,4,8,textbook,,
1240,penitent,忏悔者,忏悔者,ˈpɛnɪtɪnt,,4,1,textbook,,
1241,informer,线人,线人,ˌɪnˈfɔrmər,,4,2,textbook,,
1242,shield laws,记者特免法,记者特免法,ʃild lɔz,,4,1,textbook,,
1243,rule against hearsay,反传闻规则,反传闻规则,rul əˈgɛnst ˈhirˌseɪ,,4,7,textbook,,
1244,hearsay,传闻,传闻,ˈhirˌseɪ,,4,16,textbook,,
1245,sworn,宣誓,宣誓,swɔrn,,4,1,textbook,,
1246,hearsay evidence,传闻证据,传闻证据,ˈhirˌseɪ ˈɛvədəns,,4,1,textbook,,
1247,declarant,陈述人,陈述人,dɪˈklɛrənt,,4,11,textbook,,
1248,dying declarations,临终陈述,临终陈述,daɪɪŋ ˌdɛklərˈeɪʃənz,,4,1,textbook,,
1249,residual exception,兜底例外,兜底例外,rɪˈzɪʤuəl ɪkˈsɛpʃən,,4,1,textbook,,
1250,present sense impression,即时印象陈述,即时印象陈述,ˈprɛzənt sɛns ˌɪmˈprɛʃən,,4,1,textbook,,
1251,excited utterance,激动言辞,激动言辞,ɪkˈsaɪtɪd ˈətərəns,,4,1,textbook,,
1252,ancient documents,古文书,古文书,ˈeɪnʧənt ˈdɑkjəmənts,,4,1,textbook,,
1253,learned treatises,权威学术论著,权威学术论著,ˈlərnɪd ˈtritəsəz,,4,1,textbook,,
1254,probative,证明力,证明力,proʊˈbeɪtɪv,,4,2,textbook,,
1255,weeks v. united states,威克斯诉合众国案；威克斯诉美国案,威克斯诉合众国案；威克斯诉美国案,wiks vi. juˈnaɪtɪd steɪts,,"4,7",3,textbook,,
1256,mapp v. ohio,马普诉俄亥俄州案,马普诉俄亥俄州案,mæp vi. oʊˈhaɪoʊ,,"4,7",4,textbook,,
1257,fruit of the poisonous tree,毒树之果,毒树之果,frut əv ðə ˈpɔɪzənəs tri,,4,1,textbook,,
1258,junk science,垃圾科学,垃圾科学,ʤəŋk saɪəns,,4,1,textbook,,
1259,forensic science,法庭科学,法庭科学,ˌfɔˈrɛnsɪk saɪəns,,4,7,textbook,,
1260,limitation,限制；时效,限制；时效,ˌlɪmɪˈteɪʃən,,5,4,textbook,,
1261,judicial restraint,司法克制,司法克制,ʤuˈdɪʃəl rɪˈstreɪnt,,"5,6,8",12,textbook,,
1262,appellate court,上诉法院,上诉法院,əˈpɛˌleɪt kɔrt,,"3,5",2,textbook,,
1263,judicial gatekeeping,司法守门,司法守门,,,"5,9",2,textbook,,
1264,adjudication,裁判,裁判,əˌʤudəˈkeɪʃən,,"5,8",2,textbook,,
1265,taxpayer,纳税人,纳税人,ˈtækˌspeɪər,,5,14,textbook,,
1266,judicial doctrine,司法原则,司法原则,ʤuˈdɪʃəl ˈdɔktərɪn,,5,2,textbook,,
1267,standing,起诉权；起诉资格；诉讼资格,起诉权；起诉资格；诉讼资格,ˈstændɪŋ,,"5,6,8,9",51,textbook,,
1268,cause of action,诉因,诉因,kɔz əv ˈækʃən,,5,2,textbook,,
1269,taxpayers' suit,纳税人诉讼,纳税人诉讼,ˈtækˌspeɪərz' sut,,5,9,textbook,,
1270,enjoin,禁止,禁止,ˌɛnˈʤɔɪn,,5,2,textbook,,
1271,personal stake,个人利害关系,个人利害关系,ˈpərsɪnəl steɪk,,5,4,textbook,,
1272,adversariness,对抗性,对抗性,,,5,1,textbook,,
1273,nexus,联系,联系,ˈnɛksəs,,5,2,textbook,,
1274,petitioner,申请人,申请人,pəˈtɪʃənər,,5,2,textbook,,
1275,mootness,无实际意义,无实际意义,,,"5,8",20,textbook,,
1276,ripeness,成熟性,成熟性,,,"5,8",8,textbook,,
1277,adversary system,对抗制,对抗制,ˈædvərˌsɛri ˈsɪstəm,,5,2,textbook,,
1278,affirmative action,纠正歧视行动,纠正歧视行动,əˈfərmətɪv ˈækʃən,,"5,6",8,textbook,,
1279,LSAT,法学院入学考试,法学院入学考试,,,5,1,textbook,,
1280,reverse discrimination,逆向歧视,逆向歧视,rɪˈvərs dɪˌskrɪməˈneɪʃən,,"5,6",2,textbook,,
1281,administrative remedy,行政救济,行政救济,ədˈmɪnɪˌstreɪtɪv ˈrɛmədi,,5,1,textbook,,
1282,undue hardship,过度困难,过度困难,ənˈdu ˈhɑrdʃɪp,,5,1,textbook,,
1283,political question,政治问题,政治问题,pəˈlɪtɪkəl kˈwɛʃən,,"5,6",15,textbook,,
1284,political question doctrine,政治问题原则,政治问题原则,pəˈlɪtɪkəl kˈwɛʃən ˈdɔktərɪn,,5,5,textbook,,
1285,judicial remedy,司法救济,司法救济,ʤuˈdɪʃəl ˈrɛmədi,,5,1,textbook,,
1286,political thicket,政治荆棘丛,政治荆棘丛,pəˈlɪtɪkəl ˈθɪkɪt,,5,2,textbook,,
1287,executive privilege,行政特权,行政特权,ɪgˈzɛkjətɪv ˈprɪvɪlɪʤ,,"5,6",12,textbook,,
1288,legal limitations,限制,限制,ˈligəl ˌlɪmɪˈteɪʃənz,,5,1,textbook,,
1289,judicial jurisdiction,司法管辖权,司法管辖权,ʤuˈdɪʃəl ˌʤʊrɪsˈdɪkʃən,,5,2,textbook,,
1290,forum,法院地,法院地,ˈfɔrəm,,5,10,textbook,,
1291,diversity of citizenship,异州籍,异州籍,dɪˈvərsɪti əv ˈsɪtɪzənˌʃɪp,,5,1,textbook,,
1292,in personum jurisdiction,对人管辖权,对人管辖权,,,5,4,textbook,,
1293,in rem jurisdiction,对物管辖权,对物管辖权,ɪn rɛm ˌʤʊrɪsˈdɪkʃən,,5,2,textbook,,
1294,suit in rem,对物诉讼,对物诉讼,sut ɪn rɛm,,5,1,textbook,,
1295,personal jurisdiction,对人管辖权,对人管辖权,ˈpərsɪnəl ˌʤʊrɪsˈdɪkʃən,,5,1,textbook,,
1296,long-arm statute,长臂制定法,长臂制定法,,,5,2,textbook,,
1297,judgment in personum,对人判决,对人判决,,,5,1,textbook,,
1298,minimum contacts,最低限度联系,最低限度联系,ˈmɪnəməm ˈkɑnˌtækts,,5,1,textbook,,
1299,personal service,直接送达,直接送达,ˈpərsɪnəl ˈsərvɪs,,5,3,textbook,,
1300,substituted service,替代送达,替代送达,ˈsəbstəˌtutəd ˈsərvɪs,,5,4,textbook,,
1301,petition,诉状,诉状,pəˈtɪʃən,,5,2,textbook,,
1302,quasi-in-rem jurisdiction,准对物管辖权,准对物管辖权,,,5,1,textbook,,
1303,pleading,诉答文书；诉答程序,诉答文书；诉答程序,ˈplidɪŋ,,"5,13",3,textbook,,
1304,pretrial motion,审前动议,审前动议,priˈtraɪəl ˈmoʊʃən,,5,1,textbook,,
1305,venue statute,审判地制定法,审判地制定法,ˈvɛnju ˈstæʧut,,5,1,textbook,,
1306,forum non conveniens,不方便审理的法院,不方便审理的法院,,,5,1,textbook,,
1307,statute of limitations,诉讼时效；诉讼时效法,诉讼时效；诉讼时效法,ˈstæʧut əv ˌlɪmɪˈteɪʃənz,,5,9,textbook,,
1308,toll,时效中止,时效中止,toʊl,,5,3,textbook,,
1309,conflict of laws,法律冲突,法律冲突,ˈkɑnflɪkt əv lɔz,,5,3,textbook,,
1310,choice-of-law,法律选择,法律选择,,,5,5,textbook,,
1311,full faith and credit clause,充分信任和尊重条款,充分信任和尊重条款,fʊl feɪθ ənd ˈkrɛdɪt klɔz,,5,3,textbook,,
1312,forum shop,选择法院,选择法院,ˈfɔrəm ʃɑp,,5,1,textbook,,
1313,forum state,法院地州,法院地州,ˈfɔrəm steɪt,,5,1,textbook,,
1314,diversity jurisdiction,异籍管辖权,异籍管辖权,dɪˈvərsɪti ˌʤʊrɪsˈdɪkʃən,,5,3,textbook,,
1315,foreign law,外国法,外国法,ˈfɔrən lɔ,,5,3,textbook,,
1316,internal law,内国法,内国法,ˌɪnˈtərnəl lɔ,,5,1,textbook,,
1317,renvoi,反致,反致,,,5,2,textbook,,
1318,procedural matter,程序事项,程序事项,prəˈsiʤərəl ˈmætər,,5,1,textbook,,
1319,substantive matter,实体事项,实体事项,ˈsəbstəntɪv ˈmætər,,5,1,textbook,,
1320,full faith and credit,充分信任和尊重,充分信任和尊重,fʊl feɪθ ənd ˈkrɛdɪt,,5,1,textbook,,
1321,equity decree,衡平法令,衡平法令,ˈɛkwəti dɪˈkri,,5,1,textbook,,
1322,obiter dictum,附带意见,附带意见,,,5,1,textbook,,
1323,ratio decidendi,判决理由,判决理由,,,5,1,textbook,,
1324,equal protection of the law,法律平等保护,法律平等保护,ˈikwəl prəˈtɛkʃən əv ðə lɔ,,6,1,textbook,,
1325,judiciary act,司法法,司法法,ʤuˈdɪʃiˌɛri ækt,,6,1,textbook,,
1326,writ of mandamus,执行职务令,执行职务令,rɪt əv mænˈdeɪməs,,"6,8",2,textbook,,
1327,mandamus,执行职务令,执行职务令,mænˈdeɪməs,,6,8,textbook,,
1328,original action,初审诉讼,初审诉讼,ərˈɪʤənəl ˈækʃən,,6,1,textbook,,
1329,original jurisdiction,初审管辖权,初审管辖权,ərˈɪʤənəl ˌʤʊrɪsˈdɪkʃən,,6,5,textbook,,
1330,advisory opinion,咨询意见,咨询意见,ædˈvaɪzəri əˈpɪnjən,,6,1,textbook,,
1331,case or controversy,案件或争议,案件或争议,keɪs ər ˈkɑntrəˌvərsi,,6,1,textbook,,
1332,ripe,成熟,成熟,raɪp,,6,1,textbook,,
1333,right to counsel,获得律师帮助权；获得律师辩护权,获得律师帮助权；获得律师辩护权,raɪt tɪ ˈkaʊnsəl,,"6,7",30,textbook,,
1334,sixth amendment,第六修正案,第六修正案,sɪksθ əˈmɛndmənt,,6,2,textbook,,
1335,in forma pauperis,贫民身份,贫民身份,,,6,1,textbook,,
1336,fourteenth amendment,第十四修正案,第十四修正案,ˌfɔrˈtinθ əˈmɛndmənt,,6,10,textbook,,
1337,constitutional interpretation,宪法解释,宪法解释,ˌkɑnstəˈtuʃənəl ˌɪnˌtərprɪˈteɪʃən,,6,6,textbook,,
1338,right of privacy,隐私权,隐私权,raɪt əv ˈpraɪvəsi,,6,2,textbook,,
1339,original intention,原初意图,原初意图,ərˈɪʤənəl ˌɪnˈtɛnʧən,,6,17,textbook,,
1340,judicial activism,司法能动,司法能动,ʤuˈdɪʃəl ˈæktɪˌvɪzəm,,6,2,textbook,,
1341,eighth amendment,第八修正案,第八修正案,eɪθ əˈmɛndmənt,,6,2,textbook,,
1342,moderate originalism,温和原旨主义,温和原旨主义,,,6,1,textbook,,
1343,interpretivism,解释主义,解释主义,,,6,10,textbook,,
1344,symbolic speech,象征性言论,象征性言论,sɪmˈbɑlɪk spiʧ,,6,6,textbook,,
1345,non-interpretivism,非解释主义,非解释主义,,,6,9,textbook,,
1346,living constitution,活宪法,活宪法,ˈlɪvɪŋ ˌkɑnstəˈtuʃən,,6,1,textbook,,
1347,constitutional doctrine,主要宪法原则,主要宪法原则,ˌkɑnstəˈtuʃənəl ˈdɔktərɪn,,6,1,textbook,,
1348,police power,警察权；治安权,警察权；治安权,pəˈlis paʊər,,"6,9",12,textbook,,
1349,dual federalism,二元联邦制,二元联邦制,duəl ˈfɛdərəˌlɪzəm,,6,5,textbook,,
1350,cooperative federalism,合作联邦制,合作联邦制,koʊˈɑpərˌeɪtɪv ˈfɛdərəˌlɪzəm,,6,4,textbook,,
1351,eleventh amendment,第十一修正案,第十一修正案,ˈilɛvənθ əˈmɛndmənt,,6,1,textbook,,
1352,checks and balances,制衡,制衡,ʧɛks ənd ˈbælənsɪz,,6,4,textbook,,
1353,presentment clause,送呈条款,送呈条款,priˈzɛntmənt klɔz,,6,1,textbook,,
1354,recess appointment,休会任命,休会任命,ˈrisɛs əˈpɔɪntmənt,,6,4,textbook,,
1355,recess,休会,休会,ˈrisɛs,,6,1,textbook,,
1356,due process of law clause,正当法律程序条款,正当法律程序条款,du ˈprɔˌsɛs əv lɔ klɔz,,6,1,textbook,,
1357,fifth amendment,第五修正案,第五修正案,fɪθ əˈmɛndmənt,,6,2,textbook,,
1358,amendment,修正案,修正案,əˈmɛndmənt,,6,1,textbook,,
1359,substantive due process,实质性正当程序,实质性正当程序,ˈsəbstəntɪv du ˈprɔˌsɛs,,6,4,textbook,,
1360,incorporation,并入,并入,ˌɪnˌkɔrpərˈeɪʃən,,6,2,textbook,,
1361,total incorporation,全部并入,全部并入,ˈtoʊtəl ˌɪnˌkɔrpərˈeɪʃən,,6,2,textbook,,
1362,selective incorporation,选择性并入,选择性并入,səˈlɛktɪv ˌɪnˌkɔrpərˈeɪʃən,,6,4,textbook,,
1363,due process plus,正当程序附加,正当程序附加,du ˈprɔˌsɛs pləs,,6,1,textbook,,
1364,suspect classification,敏感分类,敏感分类,ˈsəˌspɛkt ˌklæsəfəˈkeɪʃən,,6,2,textbook,,
1365,suspect class,敏感类别,敏感类别,ˈsəˌspɛkt klæs,,6,7,textbook,,
1366,lemon test,莱蒙检验,莱蒙检验,ˈlɛmən tɛst,,6,2,textbook,,
1367,marketplace of ideas,思想市场,思想市场,ˈmɑrkɪtˌpleɪs əv aɪˈdiəz,,6,1,textbook,,
1368,pure speech,纯粹言论,纯粹言论,pjʊr spiʧ,,6,6,textbook,,
1369,speech plus action,言论加行动,言论加行动,spiʧ pləs ˈækʃən,,6,2,textbook,,
1370,clear and present danger test,明显而即刻的危险检验,明显而即刻的危险检验,klɪr ənd ˈprɛzənt ˈdeɪnʤər tɛst,,6,1,textbook,,
1371,fighting words,挑衅性言论,挑衅性言论,ˈfaɪtɪŋ wərdz,,6,2,textbook,,
1372,freedom of the press,新闻自由,新闻自由,ˈfridəm əv ðə prɛs,,6,5,textbook,,
1373,prior restraint,事先限制,事先限制,praɪər rɪˈstreɪnt,,6,3,textbook,,
1374,obscenity,淫秽,淫秽,əbˈsɛnɪti,,6,3,textbook,,
1375,substantive criminal law,实体刑法,实体刑法,ˈsəbstəntɪv ˈkrɪmənəl lɔ,,7,3,textbook,,
1376,rape,强奸,强奸,reɪp,,7,15,textbook,,
1377,procedural criminal law,程序刑法,程序刑法,prəˈsiʤərəl ˈkrɪmənəl lɔ,,7,2,textbook,,
1378,elements of a crime,犯罪的构成要件；犯罪构成要件,犯罪的构成要件；犯罪构成要件,ˈɛləmənts əv ə kraɪm,,7,5,textbook,,
1379,juvenile justice system,少年司法制度,少年司法制度,ˈʤuvəˌnaɪl ˈʤəstɪs ˈsɪstəm,,7,1,textbook,,
1380,self-defense,正当防卫,正当防卫,ˌsɛlfdɪˈfɛns,,7,2,textbook,,
1381,prostitution,卖淫,卖淫,ˌprɑstəˈtuʃən,,7,5,textbook,,
1382,burglary,入室盗窃,入室盗窃,ˈbərgləri,,7,2,textbook,,
1383,victimless crimes,无被害人犯罪,无被害人犯罪,ˈvɪktəmləs kraɪmz,,7,1,textbook,,
1384,criminal liability,刑事责任,刑事责任；公司对杀人罪的刑事责任；公司刑事责任,ˈkrɪmənəl ˌlaɪəˈbɪlɪti,《元照》：刑事责任。原“公司刑事责任”“公司对杀人罪的刑事责任”属于 corporate criminal liability 或具体案例语境，已从一般词头移出。,7,12,textbook,aggregation_cleanup,criminal liability 刑事责任。
1385,loving v. virginia,洛文诉弗吉尼亚州案,洛文诉弗吉尼亚州案,ˈləvɪŋ vi. vərˈʤɪnjə,,7,1,textbook,,
1386,lawrence v. texas,劳伦斯诉得克萨斯州案,劳伦斯诉得克萨斯州案,ˈlɔrəns vi. ˈtɛksəs,,7,1,textbook,,
1387,phalen v. virginia,菲伦诉弗吉尼亚州案,菲伦诉弗吉尼亚州案,ˈfælən vi. vərˈʤɪnjə,,7,1,textbook,,
1388,actus reus,犯罪行为,犯罪行为,,,7,9,textbook,,
1389,criminal statute,刑事制定法,刑事制定法,ˈkrɪmənəl ˈstæʧut,,7,3,textbook,,
1390,criminal punishment,刑事惩罚,刑事惩罚,ˈkrɪmənəl ˈpənɪʃmənt,,7,1,textbook,,
